Points: 33
Width: 0.0442424
Duration: 6.93351e+11
0.797206 0.561797 0.970787
0.806301 0.548314 0.930337
0.815502 0.548314 0.876404
0.829563 0.534831 0.795506
0.848226 0.521348 0.701123
0.868622 0.480898 0.485393
0.887399 0.467415 0.269663
0.905297 0.467415 0.107865
0.92442 0.494381 0.0404491
0.943178 0.561797 0
0.963194 0.656179 0
0.981716 0.750561 0.0808994
1 0.750561 0.0808994
0 0.278651 0.593258
0.0131926 0.224718 0.552809
0.0225061 0.211235 0.539326
0.0320314 0.211235 0.539326
0.0517782 0.224718 0.525843
0.07119 0.265168 0.525843
0.0898283 0.494381 0.566292
0.109097 0.588763 0.593258
0.126935 0.79101 0.620225
0.145912 0.79101 0.620225

Points: 19
Width: 0.0475658
Duration: 141.794
Centroid: 0.672632 0.739934
0 0.34094 0.947441
0.0415566 0.34094 1
0.0694459 0.34094 1
0.121648 0.34094 0.97372
0.179105 0.34094 0.921161
0.237363 0.34094 0.710926
0.29398 0.34094 0.474412
0.352756 0.35408 0.290456
0.412942 0.36722 0.185338
0.470762 0.406638 0.185338
0.530169 0.446058 0.224757
0.590362 0.524896 0.343015
0.647431 0.603734 0.434992
0.705385 0.630014 0.448132
0.767239 0.708852 0.395574
0.825891 0.735131 0.343015
0.882385 0.76141 0.251037
0.941069 0.78769 0.185338
1 0.78769 0.185338

Points: 22
Width: 0.0360795
Duration: 162.125
Centroid: 0.0539205 0.898068
0 0.237795 0.648031
0.0238458 0.237795 0.57874
0.0485181 0.220472 0.561418
0.0854771 0.220472 0.526771
0.127096 0.255118 0.509449
0.177332 0.341732 0.492126
0.23254 0.411024 0.492126
0.27814 0.549606 0.544094
0.329403 0.653543 0.648031
0.380833 0.688189 0.769292
0.432549 0.688189 0.82126
0.486717 0.63622 0.890551
0.538279 0.532283 0.890551
0.588651 0.445669 0.769292
0.640728 0.393701 0.665354
0.691321 0.341732 0.318897
0.744056 0.341732 0.232283
0.79307 0.445669 0.128347
0.843608 0.618898 0.0937001
0.896237 0.740157 0.0937001
0.948311 1 0.162991
1 1 0.162991

Points: 0
Width: 0
Duration: 3.36143
Centroid: 0 0

Points: 29
Width: 0.0558619
Duration: 219.695
Centroid: 0.293147 0.882112
0 0.427083 0.760804
0.0172194 0.427083 0.682486
0.0445368 0.404706 0.615356
0.0627325 0.404706 0.537038
0.0900089 0.415895 0.45872
0.126919 0.415895 0.369214
0.167696 0.438271 0.190201
0.202679 0.449459 0.0559412
0.239744 0.471836 0
0.27883 0.471836 0
0.316912 0.471836 0.0447531
0.355029 0.471836 0.201389
0.391916 0.449459 0.436343
0.43102 0.449459 0.660109
0.469246 0.471836 0.738427
0.508211 0.494213 0.827934
0.544748 0.516589 0.85031
0.582421 0.527777 0.85031
0.620112 0.572531 0.827934
0.657814 0.628472 0.749615
0.694993 0.662037 0.660109
0.734179 0.673225 0.581791
0.772168 0.673225 0.537038
0.810144 0.639661 0.492285
0.849915 0.583719 0.469908
0.8867 0.516589 0.469908
0.925246 0.471836 0.469908
0.963317 0.449459 0.481097
1 0.449459 0.481097

Points: 18
Width: 0.0304861
Duration: 131.724
Centroid: 0.438264 0.904097
0 0.364465 0.637813
0.0290343 0.302961 0.576309
0.0595943 0.302961 0.535307
0.111844 0.302961 0.473804
0.177409 0.302961 0.391799
0.240226 0.323462 0.289293
0.304216 0.364465 0.04328
0.366877 0.364465 0.00227676
0.426673 0.384966 0.0227784
0.493729 0.384966 0.104783
0.555745 0.384966 0.371298
0.620054 0.446469 0.637813
0.686352 0.548975 0.78132
0.746944 0.610478 0.801822
0.811997 0.733485 0.842824
0.874863 0.876993 0.842824
0.935851 1 0.822323
1 1 0.822323

Points: 18
Width: 0.0251389
Duration: 130.428
Centroid: 0.554792 0.891389
0 0.603591 0.571823
0.0296176 0.529005 0.621546
0.0757925 0.45442 0.646409
0.105556 0.429557 0.646409
0.168625 0.379834 0.646409
0.233768 0.354972 0.596685
0.292885 0.255525 0.273481
0.362352 0.255525 0.149171
0.424792 0.33011 0
0.487869 0.504143 0
0.554384 0.703038 0.149171
0.61643 0.752762 0.273481
0.682186 0.802485 0.571823
0.743427 0.752762 0.79558
0.811073 0.578728 0.845303
0.875814 0.45442 0.770717
0.936505 0.429557 0.720995
1 0.429557 0.720995

Points: 29
Width: 0.0643103
Duration: 218.191
Centroid: 0.678276 0.86681
0 0.503686 0.660858
0.026848 0.503686 0.719169
0.0464614 0.484249 0.748325
0.0727182 0.474531 0.77748
0.090998 0.464812 0.796917
0.122777 0.455094 0.806636
0.163233 0.41622 0.816354
0.20086 0.396783 0.787199
0.236742 0.34819 0.709451
0.275034 0.338472 0.631703
0.314332 0.357909 0.592828
0.351939 0.425938 0.592828
0.39106 0.455094 0.621984
0.429863 0.513405 0.699732
0.468178 0.54256 0.748325
