Points: 26
Width: 0.133269
Duration: 308.034
0.551091 0.561143 0.367428
0.59052 0.599714 0.467714
0.63286 0.630571 0.676
0.671588 0.622857 0.876571
0.712644 0.607429 0.938286
0.75276 0.576571 1
0.794384 0.576571 0.969143
0.836744 0.568857 0.838
0.876354 0.584286 0.637429
0.918221 0.607429 0.452285
0.958357 0.622857 0.382857
1 0.646 0.305714

Points: 17
Width: 0.0579412
Duration: 120.059
Centroid: 0.496569 0.544608
0 0.52961 0.704737
0.0489344 0.486463 0.747884
0.0821539 0.457698 0.762267
0.115471 0.414551 0.762267
0.16495 0.385786 0.747884
0.233081 0.299492 0.604061
0.30789 0.270727 0.474619
0.377469 0.256345 0.215736
0.445892 0.342639 0.0287648
0.515219 0.414551 0
0.586237 0.58714 0.0143824
0.650431 0.730964 0.172589
0.721864 0.802876 0.388324
0.796559 0.759728 0.618443
0.860127 0.702199 0.704737
0.931666 0.558375 0.776649
1 0.500846 0.776649

Points: 28
Width: 0.0747619
Duration: 208.128
Centroid: 0.513571 0.543691
0 0.130573 0.809713
0.0281621 0.130573 0.832006
0.0473482 0.130573 0.832006
0.0760781 0.130573 0.82086
0.0952736 0.152866 0.776274
0.118805 0.175159 0.687101
0.158416 0.186306 0.586783
0.200649 0.208598 0.464171
0.240612 0.275477 0.163216
0.278792 0.308917 0.0517509
0.320683 0.342357 0.0406044
0.361327 0.36465 0.0628974
0.400543 0.409236 0.218948
0.441829 0.442675 0.430732
0.480173 0.487261 0.586783
0.520211 0.498407 0.620222
0.560367 0.5207 0.620222
0.5994 0.55414 0.519904
0.640367 0.576433 0.453025
0.680513 0.643312 0.30812
0.720523 0.721338 0.230095
0.762344 0.81051 0.218948
0.801462 0.899682 0.30812
0.842326 0.944268 0.386146
0.882795 1 0.664808
0.922195 1 0.731688
0.960633 0.988854 0.78742
1 0.966561 0.78742

Points: 0
Width: 2.76621e+19
Duration: 4.59163e-41
Centroid: 0 0

Points: 22
Width: 0.0796212
Duration: 162.968
Centroid: 0.518788 0.576288
0 0.748335 0.826832
0.0354808 0.737869 0.879163
0.060469 0.70647 0.900095
0.0834317 0.664605 0.921028
0.129843 0.633206 0.931494
0.179741 0.549476 0.94196
0.230808 0.497145 0.910561
0.283223 0.382017 0.816365
0.334458 0.256422 0.680305
0.385033 0.172692 0.55471
0.437179 0.162226 0.502379
0.489408 0.256422 0.408183
0.540044 0.329686 0.397717
0.588504 0.518078 0.366318
0.637989 0.675071 0.30352
0.690057 0.727402 0.272122
0.743233 0.748335 0.177926
0.793803 0.675071 0.0837297
0.84481 0.612274 0.0418649
0.894966 0.382017 0
0.94804 0.31922 0.0104662
1 0.245956 0.0732635

Points: 25
Width: 0.107267
Duration: 186.14
Centroid: 0.543267 0.496067
0 0.407085 0.362958
0.0317827 0.430392 0.230889
0.0530463 0.445929 0.168739
0.0745933 0.453698 0.114357
0.10689 0.469236 0.075513
0.149475 0.477005 0.0366691
0.193844 0.484773 0.0133627
0.236481 0.477005 0.0289003
0.283563 0.445929 0.137664
0.327039 0.430392 0.22312
0.371602 0.383779 0.448415
0.415766 0.37601 0.681479
0.46109 0.383779 0.774705
0.505338 0.477005 0.961156
0.551386 0.523617 0.984462
0.597559 0.593536 1
0.641545 0.647918 0.93785
0.685258 0.671224 0.891237
0.729417 0.686762 0.782474
0.773597 0.678993 0.689248
0.817341 0.640149 0.619329
0.864318 0.562461 0.580485
0.909384 0.515848 0.572716
0.954939 0.430392 0.588254
1 0.407085 0.596022

Points: 22
Width: 0.107273
Duration: 199.961
Centroid: 0.543712 0.592273
0 0.459393 0.512712
0.0193104 0.47493 0.551554
0.0398906 0.47493 0.56709
0.0690565 0.467161 0.56709
0.0886697 0.467161 0.559322
0.125122 0.467161 0.528249
0.166502 0.459393 0.403955
0.208898 0.451625 0.326271
0.248208 0.451625 0.170904
0.289715 0.47493 0.0543785
0.333434 0.537077 0.00776835
0.373374 0.61476 0
0.417489 0.645833 0.0155367
0.458356 0.692444 0.0776835
0.799668 0.498235 0.792373
0.819193 0.498235 0.831214
0.838679 0.498235 0.838983
0.869022 0.482698 0.846751
0.889085 0.47493 0.846751
0.919022 0.47493 0.846751
0.958185 0.467161 0.838983
1 0.467161 0.815678

Points: 31
Width: 0.0994624
Duration: 230.438
Centroid: 0.550699 0.565538
0 0.613783 0.413514
0.0171506 0.597027 0.455406
0.0431455 0.588648 0.488919
0.0603003 0.563513 0.522433
0.0862825 0.546756 0.555946
0.103848 0.521621 0.58946
0.133115 0.479729 0.622973
0.168492 0.404324 0.656487
0.203425 0.362432 0.656487
0.239735 0.27027 0.581082
0.275104 0.178108 0.405135
0.3133 0.127838 0.195676
0.34727 0.152973 0.0448654
0.384495 0.203243 0.0113516
0.421496 0.32054 0.0197303
0.457882 0.437838 0.120271
0.494251 0.488108 0.195676
0.530078 0.597027 0.522433
0.564689 0.613783 0.63973
0.602448 0.63054 0.840811
0.637512 0.63054 0.94973
0.673576 0.63054 0.974865
0.710767 0.613783 1
0.746662 0.597027 0.974865
0.78156 0.58027 0.857568
0.819417 0.58027 0.648109
0.855939 0.58027 0.530811
0.89149 0.613783 0.346487
0.926702 0.647297 0.254325
0.963847 0.664054 0.212433
1 0.664054 0.212433

Points: 24
Width: 0.0606945
Duration: 178.157
Centroid: 0.510694 0.520694
0 0.19222 0.727689
0.0217833 0.20595 0.645309
0.0440874 0.21968 0.604119
0.077771 0.24714 0.549199
0.112502 0.28833 0.494279
0.157269 0.425629 0.439359
0.206388 0.590389 0.439359
0.253315 0.659039 0.453089
0.301914 0.768879 0.549199
0.348144 0.837529 0.659039
0.393509 0.851259 0.796339
0.439433 0.823799 0.864989
0.485937 0.713959 0.933638
0.532141 0.590389 0.947368
0.58018 0.466819 0.851259
0.627008 0.398169 0.768879
0.674204 0.28833 0.549199
0.721903 0.21968 0.32952
0.76758 0.23341 0.12357
0.815532 0.274599 0.0686498
0.86298 0.411899 0
0.909534 0.590389 0
0.95406 0.782609 0.0686498
1 0.919908 0.1373

Points: 19
Width: 0.0728948
Duration: 135.765
Centroid: 0.495439 0.540965
0 0.25692 0.676294
0.0724125 0.25692 0.619134
0.101897 0.268352 0.539109
0.14589 0.291216 0.447653
0.1761 0.31408 0.356197
0.205527 0.348376 0.264741
0.264366 0.382672 0.196149
0.324234 0.4284 0.104693
0.383066 0.451264 0.0932614
0.448523 0.451264 0.104693
0.508053 0.451264 0.219013
0.569697 0.439832 0.424789
0.632212 0.462696 0.630566
0.692346 0.54272 0.756318
0.755522 0.611312 0.790614
0.814024 0.737064 0.82491
0.878955 0.874248 0.82491
0.937392 0.931408 0.82491
1 1 0.802046

Points: 0
Width: 2.76621e+19
Duration: 4.59163e-41
Centroid: 0 0

Points: 20
Width: 0.1085
Duration: 207.774
Centroid: 0.513833 0.5735
0 0.428571 0.514593
0.0280503 0.451613 0.529954
0.0472972 0.451613 0.529954
0.075982 0.443932 0.529954
0.0952477 0.436252 0.514593
0.118551 0.428571 0.47619
0.159282 0.428571 0.422427
0.20054 0.420891 0.284178
0.240876 0.466974 0.138249
0.279045 0.528418 0.0460832
0.32137 0.597542 0.00768048
0.362111 0.628264 0
0.401164 0.651306 0
0.849376 0.520737 0.852534
0.864754 0.536098 0.867895
0.883663 0.536098 0.867895
0.912545 0.520737 0.867895
0.931618 0.513057 0.860215
0.960087 0.505376 0.852534
1 0.505376 0.837173

Points: 24
Width: 0.0797223
Duration: 179.091
Centroid: 0.524444 0.539722
0 0.681184 0.763065
0.0326355 0.681184 0.81533
0.0549488 0.670731 0.846689
0.0882005 0.639373 0.867595
0.115634 0.608014 0.878048
0.16074 0.587108 0.898954
0.207597 0.566202 0.898954
0.256673 0.451219 0.867595
0.301801 0.357143 0.773518
0.346542 0.263067 0.648083
0.395885 0.231708 0.595818
0.439885 0.221255 0.512194
0.488137 0.273519 0.470382
0.534972 0.336237 0.45993
0.579522 0.482578 0.439024
0.629007 0.618467 0.397212
0.672908 0.712543 0.313588
0.719242 0.733449 0.209059
0.765897 0.733449 0.146341
0.813489 0.649826 0.062718
0.859681 0.513937 0
0.904471 0.388502 0
0.953078 0.304878 0.0522647
1 0.294425 0.0836239

Points: 0
Width: 2.76621e+19
Duration: 4.59163e-41
Centroid: 0 0

Points: 26
Width: 0.0658334
Duration: 193.343
Centroid: 0.527308 0.549167
0 0.659688 0.658227
0.0201179 0.659688 0.696202
0.0513125 0.64703 0.721519
0.0719759 0.609055 0.759493
0.0931999 0.583739 0.797468
0.137795 0.545764 0.822784
0.178682 0.457156 0.873417
0.22157 0.343232 0.886075
0.264937 0.2926 0.848101
0.309658 0.102726 0.582278
0.35246 0.0647516 0.455695
0.394004 0.0394352 0.202531
0.439103 0.115384 0.0379746
0.481784 0.191334 0
0.523651 0.330574 0.0126582
0.566458 0.482473 0.13924
0.610669 0.596397 0.341772
0.652263 0.64703 0.556961
0.695974 0.659688 0.645569
0.738457 0.659688 0.70886
0.783507 0.64703 0.645569
0.826682 0.64703 0.582278
0.871221 0.672346 0.405063
0.913568 0.735637 0.265822
0.955845 0.798928 0.189873
1 0.811586 0.164557

Points: 27
Width: 0.148395
Duration: 203.82
Centroid: 0.506049 0.603272
0 0.406614 0.966306
0.0288436 0.400998 0.994384
0.0484591 0.395383 1
0.0680076 0.389767 1
0.0980681 0.389767 0.988769
0.13774 0.389767 0.904534
0.182625 0.395383 0.831531
0.222709 0.417845 0.65183
0.261921 0.434692 0.466514
0.302743 0.440308 0.387895
0.344868 0.440308 0.281198
0.385718 0.440308 0.241888
0.425927 0.440308 0.241888
0.468052 0.457155 0.292429
0.50895 0.468386 0.331739
0.549724 0.518927 0.404742
0.588668 0.586315 0.444052
0.628455 0.636855 0.449667
0.671461 0.653702 0.444052
0.712216 0.68178 0.399126
0.752606 0.693012 0.34297
0.794971 0.68178 0.286814
0.834078 0.642471 0.247504
0.876557 0.614393 0.230657
0.916517 0.547005 0.21381
0.958565 0.485233 0.219426
1 0.451539 0.236273

Points: 20
Width: 0.0674167
Duration: 138.484
Centroid: 0.4995 0.54075
0 0.466625 0.729295
0.0271212 0.404821 0.716934
0.0698409 0.367738 0.704573
0.0986686 0.330655 0.679851
0.14239 0.305933 0.630408
0.17157 0.281211 0.568603
